title,url,exercises,dialect,hours,kind,description,detailed_description,skills,purpose,level,price,keywords
SQL Basics,https://learnsql.com/course/sql-queries/,129.0,Standard SQL,10,Course,"Start here if you’re new to SQL. Learn the basics of SQL, retrieve data from an SQL database and build simple reports.","Databases are part of our everyday life, and being able to communicate with them is essential. This course will teach you the basics of SQL, a powerful query language that lets you work with many types of data.

The SQL Basics course starts with simple queries performed on a single table. These exercises will show you how to retrieve exactly what you need. Next, you’ll start working with multiple tables. You will find out about the subtle differences between various joining methods, including INNER JOIN, LEFT JOIN, RIGHT JOIN, and OUTER JOIN.

As you go deeper into the course, you’ll master using the GROUP BY function to create simple reports. You’ll also start investigating subqueries. Finally, you can test your knowledge (and earn your certificate!) in a comprehensive quiz.

Looking to get started in SQL? Give this course a try – the fascinating world of SQL queries is only a click away!

## What Do You Need to Take This Course?

Just a web browser and an Internet connection

## This Course Will Teach You How To:

- Retrieve information from a database

- Build basic reports from scratch

- Write complex WHERE conditions, using logical operators like AND, OR, and NOT

- Understand the LIKE, ILIKE, IN, and BETWEEN operators

- Work with multiple tables

- Use INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL OUTER JOIN

- Create simple reports using GROUP BY and aggregate functions

- Write subqueries and complex instructions

- Understand SQL set operations: UNION, INTERSECT, and EXCEPT

Plus, you’ll get to practice your skills on over129 interactive exercises.

## Who Should Take This Course?

- Anyone who wants to learn SQL

- Analysts who use relational databases

- Students taking courses in relational databases

- Beginning programmers

- Business database users who want to improve their skills","Retrieve information from a database
Build basic reports from scratch
Write complex WHERE conditions, using logical operators like AND, OR, and NOT
Understand the LIKE, ILIKE, IN, and BETWEEN operators
Work with multiple tables
Use INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL OUTER JOIN
Create simple reports using GROUP BY and aggregate functions
Write subqueries and complex instructions
Understand SQL set operations: UNION, INTERSECT, and EXCEPT
Plus, you’ll get to practice your skills on over 129 interactive exercises.",learn,Beginner,39.00 USD,"SELECT, FROM, WHERE, AND, OR, NOT, LIKE, ILIKE, IN, BETWEEN, JOIN, INNER JOIN, LEFT JOIN, RIGHT JOIN, FULL OUTER JOIN, GROUP BY, HAVING, UNION, INTERSECT, EXCEPT, subquery, subqueries, aggregate functions"
Window Functions,https://learnsql.com/course/window-functions/,218.0,Standard SQL,20,Course,Learn how to use analytic SQL functions to deeply understand data.,"## Description

SQL window functions – also known as windowing functions, OVER functions, or analytic functions – are tremendously useful. These functions make building complex aggregations much simpler. In this step-by-step tutorial, we will lead you through SQL window functions. At its end, you'll embrace this topic with ease and feel comfortable using window functions in SQL databases.

Window functions are so powerful that they serve as a dividing point in time: people talk about SQL before window functions and SQL after window functions. Because they were introduced into the standard relatively recently, these functions aren't covered in many SQL courses.

Note: Most popular database engines support window functions.

About the Window Functions in SQL Course

This course covers the syntax and semantics of SQL window functions. It shows how powerful they are, what the typical use cases are, and how to use ORDER BY and PARTITION BY to set up a frame for window functions. You'll also learn the difference between ROWS and RANGE clauses.

This course is intended for intermediate users. We assume the user knows the basics of SQL, including:

- How to select from a single table, including writing complex WHERE conditions

- How to JOIN tables

- How GROUP BY and HAVING work

## What are the requirements?

- A web browser

- Knowledge of basic SQL, including JOINs and GROUP BY clauses

## What Am I Going to Get from This SQL Course?

In this course you will learn:

- The syntax of the OVER() clause

- How to combine OVER() and PARTITION BY

- How to combine OVER() and ORDER BY

- How to rank rows using RANK, DENSE_RANK, and ROW_NUMBER

- How to create sophisticated window frames using ROWS and RANGE.

- The syntax of the analytic functions LEAD, LAG, FIRST_VALUE, LAST_VALUE, and NTILE.

- How to combine window functions and GROUP BY

- When to use window functions and when to use GROUP BY

You'll discover how window functions can be used to:

- Build rankings

- Compute running totals and running averages

- Find the best and worst performers

- Investigate trends across time

- Calculate contributions to the whole, such as commission percentages

## Who Should Take This Course?

- Beginning database analysts

- Developers who want to keep their knowledge of SQL current

- Students taking classes in relational databases

- Anyone who wants to learn SQL window functions","Learn the syntax of the OVER() clause
Learn how to combine OVER() and PARTITION BY
Discover how to combine OVER() and ORDER BY
Understand how to rank rows using RANK, DENSE_RANK, and ROW_NUMBER
Learn how to create sophisticated window frames using ROWS and RANGE.
Discover the syntax of the analytic functions LEAD, LAG, FIRST_VALUE, LAST_VALUE, and NTILE.
Understand how to combine window functions and GROUP BY
Learn when to use window functions and when to use GROUP BY
Learn how window functions can be used to build rankings
Compute running totals and running averages
Find the best and worst performers
Learn how to Investigate trends across time
Calculate contributions to the whole, such as commission percentages
Gain a deeper understanding of SQL aggregate functions.",learn,Advanced,39.00 USD,"OVER, PARTITION BY, ORDER BY, RANK, DENSE_RANK, ROW_NUMBER, ROWS, RANGE, LEAD, LAG, FIRST_VALUE, LAST_VALUE, NTILE, GROUP BY, window functions, analytic functions, running totals, running averages, trends, contributions, ROWS BETWEEN, RANGE BETWEEN"
SQL JOINs,https://learnsql.com/course/joins/,93.0,Standard SQL,10,Course,"Review and deepen your knowledge of SQL JOINs with 93 exercises. Practice common and less common ways of getting data
from multiple tables.","JOINs are one of the most fundamental and commonly used features of the SQL language. It's safe to say that at least basic knowledge of querying data from more than one table is an absolute must for every SQL user.

This course covers all important types of SQL JOINs that are widely used by SQL programmers to query databases on a daily basis.

This course is intended for users who have very basic experience with SQL. We assume you know how to write simple queries to select data from a single table.

## What Do You Need to Take This Course?

Just a web browser and an Internet connection.

## This Course Will Teach You:

- JOINing and selecting data from more than one table

- JOINIng many tables in a single query

- The use cases of LEFT JOIN, RIGHT JOIN, and FULL JOIN

- How to correctly filter data with different kinds of JOINs

- How to join a given table with itself

- How to join tables on non-key columns

You'll also delve into the interesting topic of non-equi JOINs.

## Who Should Take This Course?

- Analysts who use relational databases

- Students taking courses in relational databases

- Beginning programmers interested in SQL

- Business database users who want to improve their querying skills

- Anyone who wants to improve or practice their knowledge of SQL JOINs","JOINing and selecting data from more than one table
JOINIng many tables in a single query
The use cases of LEFT JOIN, RIGHT JOIN, and FULL JOIN
How to correctly filter data with different kinds of JOINs
How to join a given table with itself
How to join tables on non-key columns",practice,Beginner,39.00 USD,"JOIN, LEFT JOIN, RIGHT JOIN, FULL JOIN, INNER JOIN, CROSS JOIN, SELF JOIN, ON, USING, NATURAL JOIN, non-equi JOIN, JOIN condition, OUTER JOIN, table alias, column alias, multiple tables, non-key columns"
Recursive Queries,https://learnsql.com/course/common-table-expressions/,114.0,Standard SQL,18,Course,"Master the most challenging type of SQL queries. Learn how to process trees and graphs in SQL, and how to effectively organize long SQL queries.","## Description

Common Table Expressions (CTEs), often simply called WITH clauses, are essentially just named subqueries. They are a fairly new feature of SQL; with CTEs, you can break a long query into smaller chunks, which makes it more readable. Unlike SQL subqueries, CTEs can be recursive, allowing the traversal of hierarchical models of enormous depth.

About the Common Table Expressions in SQL CourseThis course will cover simple CTEs, nested CTEs, and recursive CTEs. You will learn how to manage your SQL queries with CTEs, how and when to nest CTEs, and how to use recursive CTEs to move through hierarchical data models.

This course is intended for intermediate users. We assume the user knows the basics of SQL, including:

- How to select from a single table, including writing complex WHERE conditions

- How to JOIN tables

- How GROUP BY and HAVING work

- How SQL subqueries work

## What Are the Requirements?

- A web browser

- Knowledge of basic SQL, including JOINs and GROUP BY clauses

## What Am I Going To Get from This SQL Course?

You will discover how to:

- Understand and use basic Common Table Expressions

- Split long SQL queries with simple and nested CTEs

- Deploy recursive CTEs

- Write recursive CTEs that traverse a hierarchical data model

## Who Should Take This Course?

- Beginning database analysts

- Developers who want to keep their knowledge of SQL current

- Students taking classes in relational databases

- Anyone who wants to learn Common Table Expressions in SQL","Understand and use basic Common Table Expressions
Split long SQL queries with simple and nested CTEs
Deploy recursive CTEs
Write recursive CTEs that traverse a hierarchical data model",learn,Advanced,39.00 USD,"CTE, WITH, subquery, subqueries, recursive CTE, hierarchical data model"
SQL Practice Set,https://learnsql.com/course/sql-practice-set/,88.0,Standard SQL,10,Course,"Refine your SQL skills with 88 interactive exercises, ranging from simple tasks with SELECT FROM statements to more advanced problems involving multiple subqueries.","Mastering SQL is a hands-on experience — learning the concepts is one thing, but writing good queries requires practice. Whether you’re a complete beginner, someone who just finished ourSQL Basicscourse, or an SQL enthusiast who’s simply eager to hone their skills, there’s always room for improvement. This practice set tests yourbasic SQL knowledgeand shows you where you need toimprove.

The scope of this practice set includes:

- simple SELECT queries;

- aggregate functions (COUNT, SUM, AVG);

- grouping and ordering results;

- JOINs (querying from multiple tables, self joins, LEFT JOIN, RIGHT JOIN, and non-equi JOINs);

- subqueries (simple subqueries, subqueries with multiple results, correlated subqueries, and subqueries in the FROM and SELECT clauses).

The last two parts of the course comprise aspecial challengethat combinesallof the above material for a comprehensive review.

## What Do You Need To Take This Course?

Just a web browser and an Internet connection

## Who Should Take This Course?

- Analysts who use relational databases

- Students taking courses in relational databases

- Beginning programmers interested in SQL

- Business database users who want to improve their querying skills

- Anyone who finished theSQL Basicscourse or has equivalent knowledge

- Anyone who wants to practice writing SQL queries","Write simple SELECT queries to retrieve specific data from databases.
Use aggregate functions like COUNT, SUM, and AVG for data analysis.
Group and order data to produce organized results.
Perform various types of JOINs to combine data from multiple tables.
Construct subqueries to handle complex queries within queries.
Solve comprehensive SQL challenges to reinforce and integrate your SQL skills.",practice,Beginner,39.00 USD,"SELECT, FROM, WHERE, COUNT, SUM, AVG, GROUP BY, ORDER BY, JOIN, self join, LEFT JOIN, RIGHT JOIN, non-equi JOIN, subquery, subqueries, correlated subquery, correlated subqueries, IN, EXISTS"
SQL Practice: University,https://learnsql.com/course/basic-sql-practice-university/,156.0,Standard SQL,12,Course,Looking for SQL practice exercises for beginners? This course is for you! Here are 156 interactive online exercises to refresh your basic SQL skills.,,"Write simple SELECT queries to get data from a single table.
Filter data with WHERE by using different number comparison operators, text patterns, and Boolean conditions, while combining these with AND, OR, and NOT.
Sort query results with ORDER BY, using ASCending and DESCending order.
Combine data from multiple tables using JOIN, LEFT JOIN, RIGHT JOIN, and FULL JOIN.
Write challenging queries with JOIN, such as multiple JOIN, self-join, and non-equi JOIN.
Group data with GROUP BY and computing statistics using aggregate functions COUNT(), AVG(), SUM(), MIN(), and MAX().
Use mathematical functions to perform simple calculations in SQL.
Work with NULL in SQL queries using IS NULL and IS NOT NULL operators.
Write subqueries, including correlated subqueries.
Merge query results using set operations UNION, INTERSECT, and EXCEPT.
Combine all basic SQL features in a challenging advanced queries section.",practice,Beginner,39.00 USD,"SELECT, FROM, WHERE, AND, OR, NOT, ORDER BY, ASC, DESC, JOIN, LEFT JOIN, RIGHT JOIN, FULL JOIN, SELF JOIN, GROUP BY, COUNT, AVG, SUM, MIN, MAX, IS NULL, IS NOT NULL, UNION, INTERSECT, EXCEPT, subquery, correlated subquery"
SQL Databases for Practice,https://learnsql.com/course/sql-practice-databases/,7.0,Standard SQL,5,Course,Enhance your SQL skills through self-guided exploration of real-world datasets. Get hands-on experience in data analysis across various industries.,,"Explore database structure on your own.
Ask questions about the data.
Write SQL queries that answer your questions.
Verify if your query is correct.
Gain confidence in handling large datasets.",practice,Beginner,39.00 USD,"SELECT, FROM, WHERE, JOIN, GROUP BY, ORDER BY, HAVING, subquery, CTE, UNION, DISTINCT, COUNT, SUM, AVG, MIN, MAX, LIKE, IN, BETWEEN, EXISTS, INNER JOIN, LEFT JOIN, RIGHT JOIN, FULL JOIN, CROSS JOIN, LIMIT, OFFSET, AS, CASE, CAST, COALESCE, NULL, IS NULL, IS NOT NULL, CREATE, DROP, INSERT, UPDATE, DELETE, ALTER, PRIMARY KEY, FOREIGN KEY, INDEX"
Basic SQL Practice: A Store,https://learnsql.com/course/basic-sql-practice-store/,169.0,Standard SQL,12,Course,Do you want to practice SQL? Are you looking for problems to help you practice what you've learned? You've come to the right place! Here are 169 interactive online exercises that will take your skills to the next level.,"The best way to learn SQL is through practice. After all, writing SQL is a practical skill. However, it's difficult to find good SQL practice problems for beginners. That's why we created this course.

Have you just started learning SQL? Or, maybe you already know the basics and are now looking for new challenges. If so, this course is for you. It will allow you to practice writing basic SQL queries.

Try to solve 169 interactive exercises grouped into different SQL topics: selecting from one table, JOINs, ORDER BY, GROUP BY, subqueries, and set operations. Each section of the course starts with a brief review of the SQL syntax needed to solve the exercises. This is followed by hands-on, real-world tasks specially designed to strengthen your SQL skills.

You can choose only the topics that are difficult for you. Or, you can complete all of them to make sure you have mastered the basics of SQL. We selected topics that are challenging for beginners and often appear in exams or during job interviews to give you the most comprehensive SQL practice possible.

The exercises in this online SQL problem set are based on a database for asimple store. You'll work with tables that contain customer, product, purchase, and employee data. And you'll practice writing queries such as how to list top-selling products, how to identify the best employees, and how to identify which customers have spent the most in the store.

Our Basic SQL Practice course gives you the opportunity to practice frequently used queries on a simple database. You will be able to immediately apply some of them in your projects, while others can be easily adapted.

Do you run a shop or online store? Learn how to master the data you collect. This will help you gain even greater profits. Knowing how to use SQL simply pays off.

To take full advantage of this course, you should know how to write simple SELECT queries, how to use the WHERE clause, what an SQL JOIN is, and how GROUP BY and HAVING work. You can learn this all in our SQL Basics course. After you finish it, come back here to practice what you learned.

This course is interactive. You'll practice writing actual SQL queries to solve exercises in your web browser. Our web-based platform will run your command and verify your solution. You don't need to install anything on your computer, so you can start practicing right away.

## What's in It for Me?

- 169 interactive exercises to practice writing SQL queries:practice at your own pace, from anywhere and at any time, interacting with hands-on exercises for improved retention

- Lifetime access to the course:when you purchase the course, you'll get instant personal access to all of its content

- Certificate of completion:you'll get a downloadable PDF certificate to showcase your accomplishment

- 30-day, money-back guarantee:if you're not satisfied with the quality of the course, you can get a refund within 30 days of your purchase

- Hints and support:you can ask questions and share insights with other members of the community through the Discuss tab (you can also drop us a line atcontact@learnsql.com, and we'll be more than happy to answer!)

## What Are the Requirements?

- Knowledge of basic SQL (for example, take this after completing ourSQL Basicscourse)

- Web browser

## What Will I Practice in This Course?

- Writing simple SELECT queries to get data from a single table

- Filtering data with WHERE by using different number comparison operators, text patterns, and Boolean conditions, while combining these with AND, OR, and NOT

- Sorting query results with ORDER BY, using ASCending and DESCending order

- Combining data from multiple tables using JOIN, LEFT JOIN, RIGHT JOIN, and FULL JOIN

- Writing challenging queries with JOIN, such as multiple JOIN, self-joins, and non-equi JOIN

- Grouping data with GROUP BY, and computing statistics using aggregate functions COUNT(), AVG(), SUM(), MIN(), and MAX()

- Using mathematical functions to perform simple calculations in SQL

- Working with NULL in SQL queries using IS NULL and IS NOT NULL operators

- Writing subqueries, including correlated subqueries

- Merging query results using set operations UNION, INTERSECT, and EXCEPT

- Combining all basic SQL features in a challenging advanced queries section

## Who Should Take This Course?

- SQL beginners who want to practice their SQL skills

- People preparing for job interviews requiring SQL

- Students taking SQL and database exams

- Store owners and managers who want to start using the power of databases

- Anyone who is looking for SQL practice problems","Write simple SELECT queries to get data from a single table
Filter data with WHERE by using different number comparison operators, text patterns, and Boolean conditions, while combining these with AND, OR, and NOT
Sort query results with ORDER BY, using ASCending and DESCending order
Combine data from multiple tables using JOIN, LEFT JOIN, RIGHT JOIN, and FULL JOIN
Write challenging queries with JOIN, such as multiple JOIN, self-joins, and non-equi JOIN
Group data with GROUP BY, and computing statistics using aggregate functions COUNT(), AVG(), SUM(), MIN(), and MAX()
Use mathematical functions to perform simple calculations in SQL
Work with NULL in SQL queries using IS NULL and IS NOT NULL operators
Write subqueries, including correlated subqueries
Merge query results using set operations UNION, INTERSECT, and EXCEPT
Combine all basic SQL features in a challenging advanced queries section",practice,Beginner,39.00 USD,"SELECT, FROM, WHERE, ORDER BY, GROUP BY, HAVING, JOIN, LEFT JOIN, RIGHT JOIN, FULL JOIN, INNER JOIN, self-join, non-equi JOIN, UNION, INTERSECT, EXCEPT, IS NULL, IS NOT NULL, COUNT, AVG, SUM, MIN, MAX, AND, OR, NOT, subquery, subqueries, correlated subqueries"
Basic SQL Practice: Blog & Traffic Data,https://learnsql.com/course/basic-sql-practice-blog/,141.0,Standard SQL,20,Course,Master SQL with blog and web traffic data for a dog supply store. Dive into data analysis with these 141 interactive online exercises with a pet e-commerce blog database.,"Looking for SQL challenges? You've come to the right place. Here's another batch of hands-on exercises to help you improve your SQL skills.

This SQL practice course is designed for beginners who know the basics of SQL and want practice exercises to review and hone their SQL skills.

The exercises in this course are based on a database that records the blog traffic of adog supply store. The blog is a promotional tool for the store's products and includes articles about products for dogs as well as advice and guidance for pet owners about dog care, dog training, grooming, and feeding. We have created all tasks to resemble a real scenario as much as possible. So, expect real-life problems to solve by writing SQL queries.

The database holds information about the articles published on the blog, their authors, daily article traffic, and user traffic from the articles to specific product pages. Using your SQL skills on the data from the database, you will analyze the popularity of the articles, the quality of work by the authors, and the effectiveness of article-driven product promotions.

This interactive course consists of 141 exercises and requires approximately 20 hours to complete. It is divided into six parts, each addressing a different SQL topic that beginners often find challenging. The first part addresses retrieving data from a single table, and the next part focuses on various types of JOINs. In the third part, you practice sorting rows using the ORDER BY clause. Next, you dive into grouping rows using the GROUP BY clause and using aggregate functions in SQL. The fifth part delves into more advanced SQL features, such as mathematical computations, handling of NULL values, and subqueries. Finally, we provide a place for hands-on practice in combining the different SQL features. Each part starts with a brief overview of the topic, followed by a set of exercises designed to solidify your understanding.

To take full advantage of this course, you should know how to write simple SELECT statements, how to use the WHERE clause, what an SQL JOIN is, and how GROUP BY and HAVING work. You can learn all this in ourSQL Basicscourse. After you finish it, come back here to practice what you learn.

You may want to adjust your study plan according to your preferences. You may even want to focus on specific areas. When you complete all the exercises, you'll have a solid understanding of the SQL basics, and you’ll be prepared to take on more complex assignments. The course has been structured to include topics that are often a struggle for beginners and commonly seen in evaluations or job interviews, providing a balanced and practical approach to basic SQL query practice.

This course offers an interactive learning experience. You hone your SQL skills by writing SQL queries and solving tasks directly in your web browser. Our online platform executes your SQL code and validates your solutions. There's no need to install anything on your device, which means you start practicing immediately.","Write basic SELECT queries to retrieve information from a single table.
Filter data with WHERE by using numeric comparison operators, text patterns, and Boolean conditions, then combining them with AND, OR, and NOT.
Sort query results with ORDER BY, using ASCending and DESCending order.
Combine data from multiple tables using JOIN, LEFT JOIN, RIGHT JOIN, and FULL JOIN.
Compose complex queries incorporating multi-table JOIN.
Group data with GROUP BY and calculating statistics by applying aggregate functions COUNT(), AVG(), SUM(), MIN(), and MAX().
Use mathematical functions to perform simple calculations in SQL.
Handle NULL in SQL queries using the IS NULL and IS NOT NULL operators.
Write subqueries, including correlated subqueries.
Combine all basic SQL features in a challenging advanced queries section.",practice,Beginner,39.00 USD,"SELECT, WHERE, FROM, JOIN, LEFT JOIN, RIGHT JOIN, FULL JOIN, GROUP BY, ORDER BY, HAVING, COUNT, AVG, SUM, MIN, MAX, IS NULL, IS NOT NULL, subquery, subqueries, AND, OR, NOT, ASC, DESC, NULL"
Basic SQL Practice: Run Track Through Queries!,https://learnsql.com/course/basic-sql-practice-run-queries/,119.0,Standard SQL,11,Course,"Do you like both sports competition and learning? We have something for you. Here are 119 interactive online SQL exercises to help you practice your skills. Challenge yourself, solve problems, and win the race to SQL proficiency.","A runner must run thousands of miles before reaching the championship level. Proper training is the basis of his/her success. It's the same with learning SQL – the best way to do it is through practice. Writing queries is, after all, a practical skill. However, we know that it is often difficult for beginners to find the right tasks and projects. That's why we created this course.

Here, you'll play with realtrackresults from the Rio Olympics, 2019 IAAF World Championships in Doha, and 2017 IAAF World Championships in London. Our database contains all final results for the track events for men and women, starting with the 100-meter sprints, through middle and long distances, to marathons. In these data, you will find information such as the person with the best result for 100-meter sprints, the average speed for the 3000-meter events, the country with the most medals in track at the Rio Olympics, and many more. Are you interested in sports, athletics, or track? This exercise set is for you!

The 119 interactive exercises are grouped into different SQL topics: selecting from one table, JOINs, ORDER BY, GROUP BY, subqueries, and set operations. Each section of the course starts with a brief review of the SQL syntax needed to solve the exercises. This is followed by hands-on, real-world tasks specially designed to strengthen your SQL skills.

You don't have to do the entire course. If you want to practice specific topics, you can focus just on those. However, it's a good idea to make sure you have mastered the basics. In the course, you will practice topics that are often difficult for SQL beginners. Also, these are topics you might encounter during exams or job interviews. Make sure you know your SQL and test it in practice.

To get the most out of this course, you should know how to write simple SELECT queries, how to use the WHERE clause, what an SQL JOIN is, and how GROUP BY and HAVING work. You can learn all these in ourSQL Basics course. After you finish it, come back here to practice what you have learned.

This course is interactive. You don't need to install or set anything up on your computer. You can start practicing SQL right away. You will solve the exercises in your web browser, immediately validating your queries. You will get instant feedback, thanks to which you will make quick progress in learning.

## What's in it for me?

- 119 interactive exercises to practice writing SQL queries: practice at your own pace, from anywhere and at any time, with interactive hands-on exercises for improved retention.

- Lifetime access to the course: when you purchase the course, you'll get instant personal access to all of its content.

- Certificate of completion: you'll get a downloadable PDF certificate to showcase your accomplishment.

- A 30-day, money-back guarantee: if you're not satisfied with the quality of the course, you can get a refund within 30 days of your purchase.

- Hints and support: you can ask questions and share insights with other members of the community through the Discuss tab (you can also drop us a line atcontact@learnsql.com, and we'll be more than happy to answer!).

## What Are the Requirements?

- Knowledge of basic SQL (for example, take this after completing ourSQL Basics course).

- Web browser.

## What Will I Practice in This Course?

- Writing simple SELECT queries to get data from a single table.

- Filtering data with WHERE, using different number comparison operators, text patterns, and Boolean conditions, while combining them with AND, OR, and NOT.

- Sorting query results with ORDER BY, using ASCending and DESCending order.

- Combining data from multiple tables using JOIN, LEFT JOIN, RIGHT JOIN, and FULL JOIN.

- Writing challenging queries with JOIN, such as multiple JOINs, self-joins, and non-equi JOINs.

- Grouping data with GROUP BY and computing statistics using aggregate functions COUNT(), AVG(), SUM(), MIN(), and MAX().

- Using mathematical functions to perform simple calculations in SQL.

- Working with NULL in SQL queries using IS NULL and IS NOT NULL operators.

- Writing subqueries, including correlated subqueries.

- Merging query results using set operations UNION, INTERSECT, and EXCEPT.

- Combining all basic SQL features in a challenging advanced queries section.

## Who Should Take This Course?

- SQL beginners who want to practice their SQL skills.

- People preparing for interviews for jobs that require SQL.

- Students preparing to take SQL and database exams.

- Store owners and managers who want to start using the power of databases.

- Anyone who is looking for SQL practice problems.","Write simple SELECT queries to get data from a single table.
Filter data with WHERE, using different number comparison operators, text patterns, and Boolean conditions, while combining them with AND, OR, and NOT.
Sort query results with ORDER BY, using ASCending and DESCending order.
Combine data from multiple tables using JOIN, LEFT JOIN, RIGHT JOIN, and FULL JOIN.
Write challenging queries with JOIN, such as multiple JOINs, self-joins, and non-equi JOINs.
Group data with GROUP BY and computing statistics using aggregate functions COUNT(), AVG(), SUM(), MIN(), and MAX().
Use mathematical functions to perform simple calculations in SQL.
Work with NULL in SQL queries using IS NULL and IS NOT NULL operators.
Write subqueries, including correlated subqueries.
Merge query results using set operations UNION, INTERSECT, and EXCEPT.
Combine all basic SQL features in a challenging advanced queries section.",practice,Beginner,39.00 USD,"SELECT, WHERE, FROM, ORDER BY, GROUP BY, HAVING, JOIN, LEFT JOIN, RIGHT JOIN, FULL JOIN, INNER JOIN, self-join, non-equi JOIN, UNION, INTERSECT, EXCEPT, IS NULL, IS NOT NULL, WHERE clause, subquery, subqueries, correlated subquery, COUNT, AVG, SUM, MIN, MAX, AND, OR, NOT, ASC, DESC"
